网站名称, 网站链接, 博客总流, 关注人数, 性质/内容, 主题
徐小明_新浪博客,http://blog.sina.com.cn/u/1300871220
,2,271,636,832,301,747,新浪博客,股票 每日操作策略 盘口 徐小明 股票 每日操作策略 盘口 徐小明 
wu2198_新浪博客,http://blog.sina.com.cn/u/1216826604
,1,375,568,554,273,397,新浪博客,wu2198 股票 wu2198 股票 
封起De日子_新浪博客,http://blog.sina.com.cn/u/1245296155
,1,072,846,804,124,390,新浪博客,杂谈 封起de日子 杂谈 封起de日子 
凯恩斯_新浪博客,http://blog.sina.com.cn/u/1284139322
,926,289,202,220,435,新浪博客,股票 股票 
淘金客_新浪博客,http://blog.sina.com.cn/u/1458594614
,805,719,808,227,929,新浪博客,淘金客 原创 股票 淘金客 原创 股票 
